1172 France, Anatole
1236 Hoyle, Fred
1068 Carrel, Alexis
147 Jarrett, Jeff
548 Kurtz, Scott R.
403 Eliot, George
882 Greer, Germaine
46 Rilke, Rainer Maria
7 Ninio, Jacques
1566 Botha, Pik
358 White, Reggie
1344 Stewart, Jon
1812 Milton, John
1650 Karzai, Hamid
210 Marshall, Joshua Micah
507 Herzler, Roger D
285 Sade, Donatien de
1475 Henderson, Rickey
1888 Walberg, Tim
186 Hayek, Friedrich
1259 Doyle, Arthur Conan
1789 Clay, Henry
385 Tecumseh
389 Loo, Tristan J.
595 Fosdick, Harry Emerson
1187 Leung, Graeme
1728 Bierce, Ambrose
586 Travers, P. L.
1692 de Mello, Anthony
1911 Gogol, Nikolai Vasilievich
455 Sallust
644 Gundmundsdottir, Bjork
1127 Pessoa, Fernando
87 Lernoux, Penny
1960 Alexie, Sherman
292 Bentsen, Lloyd
1580 Sinclair, Upton
31 McCartney, Paul
426 Estefan, Gloria
1067 Carrey, Jim
703 Marlowe, Christopher
982 Havok, Davey
58 Cervantes, Miguel de
601 James, William
1922 Moore, Alan
623 Covington, Stephen
373 Bolívar, Simón
1794 Hung, William
17 Ali ibn Abi Talib
1943 Hellman, Lillian
1633 Youngman, Henny
1685 Cooper, Alice
875 Kawohl, Kurt
1752 Sedgwick, John
201 King, Martin Luther
1398 MacGregor, Robert Roy
539 Warren, Rick
1076 Frank, Anne
1780 Qin Shi Huang
1742 Franzen, Jonathan
1077 Heinlein, Robert A.
612 Teilhard de Chardin, Pierre
193 Cicero
12 Harris, William Torrey
1555 Gaudi, Antonio
1495 Newhart, Bob
242 Powell, Colin
327 La Bruyère, Jean de
1904 Grudin, Robert
737 Rand, Ayn
1768 Diana, Princess of Wales
45 Lear, Edward
382 Jesus Christ
1139 Geagea, Samir
894 DiCaprio, Leonardo
958 Mandela, Nelson
1857 Unamuno, Miguel de
963 Asimov, Isaac
1390 Boileau-Despreaux, Nicholas
478 Huygens, Christian
1876 Williams, Roger
1138 Morrissey
189 Kurtz, Katherine
8 Waqabaca, Josaia
48 Hubbard, L. Ron
1605 Speijk, Jan van
1333 Castaneda, Carlos
1747 Michelangelo Buonarroti
1093 Anderson, Sparky
450 Dee, Jack
662 Lohan, Lindsay
615 Collison, Chris
1193 Sappho
1565 Jordan, Sandra
719 Butler Sloss, Dame Elizabeth
1480 Blair, Robert
281 Hume, David
857 Euripides
39 Sowell, Thomas
1191 Araya, Tom
166 Cooley, Mason
858 Davis, Bette
75 Mussolini, Benito
1630 Lloyd, Seth
370 Carlson, Tucker
1060 Finney, Albert
672 Allen, Woody
1629 Martin, Judith "Miss Manners"
34 Lawler, Jerry
1454 Stevenson, Robert Louis
531 Updike, John
947 Delacroix, Eugène
1912 Rabelais, François
1552 Blakey, Art
336 Warhol, Andy
1119 Moore, Tim
464 Mugabe, Robert
634 Premchand, Munshi
466 Boethius, Ancius
266 San Martín, José de
37 Gabriel, Peter
782 Wallace, David Foster
1767 Phelps, Michael
1521 Stroustrup, Bjarne
1396 Koontz, Dean R.
670 Cromwell, Oliver
1079 Morrison, Robert
1671 Leonard, Elmore
245 Gygax, Gary
1340 Webster, Daniel
1913 Milano, Alyssa
23 Truman, Harry S.
227 Dutton, Denis
1484 Addams, Jane
1665 Miller, Ron
1460 Starrett, Vincent
935 Greeley, Horace
513 Conway, Anne
461 Keynes, John Maynard
849 Held, John
1576 Jensen, Hayley
1302 Spinoza, Baruch
1823 Ginott, Haim
1083 Julian (Emperor)
1945 Handy, Charles
1571 Milosz, Ceslaw
1325 Malory, Thomas
1504 al-Sadr, Muqtada
1319 Lennon, John
1843 Smuts, Jan Christiaan
1811 Wright, Frank Lloyd
27 Roth, Philip
261 Negroponte, Nicholas
1678 Butler, Samuel (1835-1902)
784 Quale, Anthony
912 Callaghan, James
5 Marx, Karl
85 Holderlin, Friedrich
1230 Dickson, Leonard Eugene
1551 Ishihara, Shintaro
1272 Chuang Chou (Chuang Tzu; Chuang Tse; Zhuang Zi)
1606 James, Alice
1456 Monroe, Marilyn
273 Cortázar, Julio
698 Manchester, William
571 Rommel, Erwin
709 Buffett, Warren
652 Heifetz, Jascha
355 Coleridge, Samuel Taylor
1189 Amos, Tori
1805 Landor, Walter Savage
517 Brontë, Emily
1469 Ziglar, Zig
272 Gwanghae-gun of Joseon
162 Bush, Vannevar
824 Brown, Earle
549 Harris, Sam
1028 Mises, Ludwig von
49 Abbey, Edward
192 Christie, Agatha
1672 Ponsonby, Arthur
59 Foster, Sir Robert Sidney
480 Raajan, Amitrajit
1586 Dick, Philip Kindred - a.k.a. PKD
1362 Groening, Matt
1476 Stephenson, Neal
1154 Wall, Larry
691 Page, Larry
1195 Quintilian, Marcus Fabius
1095 Long, Huey P.
907 Savitri Devi
1563 Dauten, Dale
78 Lavigne, Avril
419 Hull, Bobby
856 Saul, John Ralston
893 Swedenborg, Emanuel
62 Benenson, Peter
122 Icke, David
384 Fromm, Erich
654 Clausewitz, Karl von
891 Berry, Halle
845 Smith, Logan Pearsall
1010 Socrates
1514 Putin, Vladimir
68 Erikson, Steven
1213 Sagan, Carl
444 Copernicus, Nicolaus
259 Hoffman, Jessica
270 Haig, Alexander
107 Hobbes, Thomas
846 Johns, Michael
867 Browning, Robert
1326 Zé Tom
216 Edward VII, King of England
387 Pauling, Linus
1891 Zinn, Howard
428 Wodehouse, P. G.
684 Mortimer, John
1249 Nixon, Richard
994 Gill, Eric
1760 Caesar, Irving
1406 Gould, Stephen Jay
1506 Tudor, John
1420 Conway Morris, Simon
1231 Rumi, Jalal al-Din Muhammad
93 Jackson, Jesse
158 Muhammad, Holy Prophet
717 Welles, Orson
1773 Andric, Ivo
366 Pompey the Great
1246 Joyce, James
699 Rabin, Yitzhak
930 Dirksen, Everett
305 Maher, Bill
219 Clapton, Eric
757 Wylie, Philip
231 Freund, Peter
1531 Graham, Lindsey
1741 Blix, Hans
1197 Sedaris, David
1814 Montaigne, Michel de
1872 Gilder, George
479 Hepburn, Katherine
1593 McQuaig, Linda
1675 Kak, Subhash
235 Peel, John
902 Eluard, Paul
1598 Cain, Peter
791 Esposito, Phil
721 Joplin, Janis
485 Johnson, Susan (Australian)
749 Bush, John Carder
1183 Joshi, Kedar
1870 Hayes, Helen
1713 Allen, Fred
887 Sobran, Joseph
1698 Godwin, Mike
1212 Brutus, Marcus Junius
1243 Nelson, Hailey Anne
1749 Confucius
742 Warren, Robert Penn
689 Levertov, Denise
1419 Twain, Mark
362 Madonna see Ciccone, Madonna
1464 Handy, W. C.
221 Guderian, Heinz
1219 Bagehot, Walter
15 Cray, Seymour
174 Antunes, António Lobo
448 Novalis
202 Burroughs, William S.
1850 Sheridan, Richard Brinsley
1477 Zola, Emile
1644 Devine, Carl
716 Carter, Elliott
1778 Augustine, Norman Ralph
398 Piper, Roddy
570 Galtieri, Leopoldo
1507 Najimy, Kathy
47 Jenner, Henry
1338 Lichtenberg, Georg Christoph
869 Anthony, Susan B.
741 Bibesco, Princess Elizabeth
1256 Sharpton, Al
1001 Kingsolver, Barbara
842 Kundera, Milan
413 Eggers, Dave
573 Pieper, Josef
453 Franklin, Benjamin
562 Seigle, Lucy
542 Feynman, Richard
187 Ritter, Scott
397 Corgan, Billy
1849 Wozniak, Steve
1194 Thurber, James
1334 Clinton, Hillary
481 Jones, Orlando
1639 Jones, Norah
1293 Grey, Zane
905 Paul, Ron
708 Antoniou, Laura
1873 Shinoda, Mike
458 Russell, Nipsey
1705 Capone, Al
73 Rovabokola, Ratu Viliame
1937 Arafat, Yasser
1610 Huxley, Aldous
1431 Jensen, Derrick
1581 Affleck, Ben
167 Oliver, Jamie
184 Bruno, Giordano
966 Niemöller, Martin
811 Carroll, Lewis
1642 Monheit, Jane
1235 O’Shaughnessy, Arthur
512 de Molay, Jacques
1092 Alcuin
348 Castro, Fidel
1853 Hattersley, Roy
1369 Henry, O.
1822 Bastiat, Frédéric
1931 Nabokov, Vladimir
917 Echols, Damien
977 Hess, Karl
19 Throttle, Ben
519 Carroll, Tom
1530 Hutcheson, Francis
1391 Reagan, Ron
175 Longfellow, Henry Wadsworth
976 Jonson, Ben
1330 Ustinov, Peter
1090 Stein, Gertrude
451 Merrick, Joseph
342 Sparber, Max
1753 Harvey, Paul
949 Dogg, Snoop
1569 Tohei, Koichi
1838 Abrams, Creighton
1608 Yeltsin, Boris
1881 Holmes, Oliver Wendell, Sr.
1834 Tennyson, Alfred (Lord)
761 Buonarroti, Michelangelo
984 Saki
710 Roy, Arundhati
1907 McGoohan, Patrick
683 Jackson, Michael
1317 House, Jinnah
1772 Johnson, Lyndon
1669 Chrysostom, John
940 Zacharek, Stephanie
767 Bush, George W.
572 Banks,Ernie
1735 Hill, Joe
491 Nero (Emperor)
574 Derrida, Jacques
639 Rehnquist, William
20 Ehrlich, Paul R.
1486 Kulongoski, Ted
96 Billings, Josh
1070 Kazantzakis, Nikos
86 Eisenhower, Dwight D.
938 Kilmer, Joyce
1387 Murrow, Edward R.
1929 Balzac, Honoré de
1451 Clinton, Bill
1082 Stout, Rex
1643 Tilopa
1131 Diderot, Denis
1229 Child, Julia
636 Holt, John
250 Crisp, Quentin
826 Scanderbeg|Skenderbeu(The prince of Arberia)
889 Hendrix, Jimi
77 Martin, John
925 Zorba The Greek
1335 Poincaré, Henri
111 Crick, Francis
1103 Blood, Rebecca
1821 Waitley, Denis
952 King, Carole
1099 Mustaine, Dave
700 Rice, Condoleezza
1346 Ovid
1847 Irvine, Eddie
872 Griswold, Erwin
275 Mann, Thomas
1278 Zimmermann, Philip
987 Benedict XVI (Pope)
974 Brackett, Joseph
1736 Ahbez, Eden
649 Syrus, Publilius
1062 Munshi Premchand
1050 Beecher, Henry Ward
763 McCarthy, Eugene
1603 Ogilvy, David
1958 Becker, Carl
817 Cage, John
203 Jarrell, Randall
433 Douglas, Tommy
914 Ebadi, Shirin
625 Agena, Keiko
1258 Ingelow, Jean
1704 Hegel, Georg Friedrich Wilhelm
1800 Mies van der Rohe, Ludwig
1447 Garner, Helen
1640 Kerry, Teresa Heinz
911 Dyson, Freeman
155 Clark, Frank A.
252 Seabrook, Jeremy
215 Horning, Jim
1410 Aiken, Conrad
1824 Watterson, Bill
1631 James I of England
204 Broun, Heywood
1627 Hyson, Matt
1123 Caucau, Adi Asenaca
1738 Knebel, Fletcher
1840 Babbitt, Milton
1708 Hart, Owen
1020 Reeve, Christopher
284 Boone, Louis E.
821 Goya, Francisco
1345 Adams, John
42 Yourcenar, Marguerite
454 Corea, Chick
726 Letterman, David
286 Abourezk, James
535 Melua, Katie
544 Parker, Dorothy
1549 Mayweather, Floyd, Jr.
739 Hall, Evelyn Beatrice (also known by pseudonym "Stephen G. Tallentyre")
669 Demosthenes
956 Beck, Glenn
881 Fish, Michael
1318 Alcott, Louisa May
472 Snepscheut, Jan L. A. van de
1147 ElBaradei, Mohamed
1651 Wales, Jimbo
1467 Shrivastava, Mataji Nirmala
1442 Byrd, Robert
1526 Paine, Thomas
1463 Depew, Chauncey
365 McNair, Steve
1232 Khayyam, Omar
1695 Cowley, Abraham
1299 Hutton, James
427 Hull, Cordell
178 Howe, Julia Ward
349 Puget, Jade
1360 Cummings, E. E.
1750 Batch, Charlie
1575 Alberti, Leone Battista
560 Khomeini, Ruhollah
1374 Ortiz, David
